symbol,dataset_start,dataset_end,bars,n_trades,n_12m,r_prior,r_12m,tier_now,tier_proposed,provisional,rule
SOLUSDC,2024-01,2026-09-04,93549,74,27,0.21933177511589386,0.22594165974590544,1.0,1.0,True,positive both
UNIUSDC,2024-01,2026-09-04,42781,37,29,0.135410853906944,0.17100591591553307,1.0,1.0,True,positive both
ETHUSDC,2024-01,2026-09-04,93550,116,49,0.24268298539719624,0.052818740250442746,0.5,1.0,False,positive both
LTCUSDC,2024-01,2026-09-04,84164,95,39,-0.21684315643354962,0.45850510448903864,0.5,0.5,False,positive one
BTCUSDC,2024-01,2026-09-04,93550,102,32,-0.33757734160332675,0.2851996873526051,0.5,0.5,False,positive one
WLDUSDC,2024-01,2026-09-04,86852,89,35,-0.140858806388193,0.16112619041213683,0.5,0.5,False,positive one
XRPUSDC,2024-01,2026-09-04,93549,79,32,-0.08397779391177769,0.08598712857291647,0.5,0.5,False,positive one
LINKUSDC,2024-01,2026-09-04,89438,81,41,-0.3364911798858375,0.034532558350992254,0.5,0.5,False,positive one
DOGEUSDC,2024-01,2026-09-04,92216,86,35,-0.3913498484442685,0.015662293745376744,0.5,0.5,False,positive one
AVAXUSDC,2024-01,2026-09-04,86276,97,35,0.09056257859521342,-0.01062000213268102,0.5,0.5,False,positive one
ORDIUSDC,2024-01,2026-09-04,88868,95,27,0.08091172495203625,-0.017345961883208885,0.5,0.5,True,positive one
ADAUSDC,2024-01,2026-09-04,52567,44,24,0.756439116746274,-0.100583206063257,0.5,0.5,True,positive one
BCHUSDC,2024-01,2026-09-04,84836,99,38,0.1648225906695583,-0.12965935562835992,0.5,0.5,False,positive one
1000PEPEUSDC,2024-01,2026-09-04,87518,77,36,0.5489990710549427,-0.13592508905627984,0.5,0.5,False,positive one
AAVEUSDC,2024-01,2026-09-04,42782,42,34,0.41414763764364526,-0.36742554278748674,0.5,0.5,False,positive one
ZECUSDC,2024-01,2026-09-04,27798,30,30,,0.21313306221644718,0.0,0.0,False,under 12m history
BNBUSDC,2024-01,2026-09-04,93550,89,30,-0.11651983131627955,-0.12730188887640487,0.0,0.0,False,positive neither
ENAUSDC,2024-01,2026-09-04,82148,84,29,-0.06707596495559474,-0.13911242628606113,0.0,0.0,True,positive neither
NEARUSDC,2024-01,2026-09-04,84163,72,23,-0.023066952246722634,-0.18857447610894626,0.0,0.0,True,positive neither
FILUSDC,2024-01,2026-09-04,83490,57,24,-0.5567060168248672,-0.26989025507444614,0.0,0.0,True,positive neither
SUIUSDC,2024-01,2026-09-04,90212,88,36,-0.06476028107268342,-0.31414340108534305,0.0,0.0,False,positive neither
